"bairro","cidade","estado"
"SANTA MARTA","BENTO GONÇALVES","RIO GRANDE DO SUL"
"PARQUE DOS IPÊS","FRANCA","SÃO PAULO"
"PAROQUIAL","PICOS","PIAUÍ"
"SANTANA DOS CUIABANOS","VALINHOS","SÃO PAULO"
"FONTOURA","VALINHOS","SÃO PAULO"
"RECANTO DOS PINHEIROS","SÃO JOSÉ DOS CAMPOS","SÃO PAULO"
"JARDIM SANTA MÔNICA I","MOGI GUAÇU","SÃO PAULO"
"PARQUE CAPIBARIBE","SÃO LOURENÇO DA MATA","PERNAMBUCO"
"RESIDENCIAL PRIMAVERA","SÃO LUÍS","MARANHÃO"
"JARDIM MONTEIRO","SOROCABA","SÃO PAULO"
"JARDIM DOS MANACÁS","PIRACICABA","SÃO PAULO"
"JARDIM DAS TULIPAS","SÃO JOÃO DA BOA VISTA","SÃO PAULO"
"CHÁCARA DA ALEGRIA","JUNDIAÍ","SÃO PAULO"
"SANTA FÉ","DOURADOS","MATO GROSSO DO SUL"
"SITIOCA OURO FINO","DOURADOS","MATO GROSSO DO SUL"
"GOLDEM PARK","DOURADOS","MATO GROSSO DO SUL"
"CHÁCARA YPÊ","DOURADOS","MATO GROSSO DO SUL"
"JARDIM DEOCLÉCIO ARTUZZI II","DOURADOS","MATO GROSSO DO SUL"
"JARDIM SUMARÉ","BIRIGÜI","SÃO PAULO"
"JARDIM TANGARÁ","BIRIGÜI","SÃO PAULO"
"JARDIM TOSELAR","BIRIGÜI","SÃO PAULO"
"JARDIM TROPICAL","BIRIGÜI","SÃO PAULO"
"JARDIM VALE DO SOL","BIRIGÜI","SÃO PAULO"
"JARDIM VISTA ALEGRE","BIRIGÜI","SÃO PAULO"
"JOÃO CREVELARO","BIRIGÜI","SÃO PAULO"
"NOVO JARDIM STÁBILE","BIRIGÜI","SÃO PAULO"
"NOVO JARDIM TOSELAR","BIRIGÜI","SÃO PAULO"
"NOVO PARQUE SÃO VICENTE","BIRIGÜI","SÃO PAULO"
"NUCLEO HABITACIONAL IVONE ALVES PALMA","BIRIGÜI","SÃO PAULO"
"NÚCLEO HABITACIONAL THEREZA MARIA BARBIERI","BIRIGÜI","SÃO PAULO"
"PARQUE DAS NAÇÕES","BIRIGÜI","SÃO PAULO"
"PARQUE DAS PAINEIRAS","BIRIGÜI","SÃO PAULO"
"PARQUE RESIDENCIAL AMÉRICA","BIRIGÜI","SÃO PAULO"
"PARQUE RESIDENCIAL LALUCE","BIRIGÜI","SÃO PAULO"
"PARQUE RESIDENCIAL LALUCE II","BIRIGÜI","SÃO PAULO"
"PARQUE RESIDENCIAL NELSON CALIXTO","BIRIGÜI","SÃO PAULO"
"PARQUE SÃO VICENTE","BIRIGÜI","SÃO PAULO"
"PATRIMÔNIO SANTO ANTÔNIO","BIRIGÜI","SÃO PAULO"
"PATRIMÔNIO SILVARES","BIRIGÜI","SÃO PAULO"
"PERDIZES RESIDENCIAL PARQUE","BIRIGÜI","SÃO PAULO"
"QUEMIL","BIRIGÜI","SÃO PAULO"
"RECANTO VERDE","BIRIGÜI","SÃO PAULO"
"RESIDENCIAL ALVORADA","BIRIGÜI","SÃO PAULO"
"RESIDENCIAL ART VILLE","BIRIGÜI","SÃO PAULO"
"RESIDENCIAL ATENAS","BIRIGÜI","SÃO PAULO"
"RESIDENCIAL CAPUANO","BIRIGÜI","SÃO PAULO"
"RESIDENCIAL CRISTO REDENTOR","BIRIGÜI","SÃO PAULO"
"RESIDENCIAL DAS AROEIRAS","BIRIGÜI","SÃO PAULO"
"RESIDENCIAL DE COLORES","BIRIGÜI","SÃO PAULO"
"RESIDENCIAL EURICO CAETANO","BIRIGÜI","SÃO PAULO"
"RESIDENCIAL IBISA","BIRIGÜI","SÃO PAULO"
"RESIDENCIAL IPÊ","BIRIGÜI","SÃO PAULO"
"RESIDENCIAL JARDIM DO TREVO","BIRIGÜI","SÃO PAULO"
"RESIDENCIAL JARDIM SANTA LUZIA","BIRIGÜI","SÃO PAULO"
"RESIDENCIAL MANUELA","BIRIGÜI","SÃO PAULO"
"RESIDENCIAL MODELO","BIRIGÜI","SÃO PAULO"
"RESIDENCIAL MONTE LÍBANO","BIRIGÜI","SÃO PAULO"
"RESIDENCIAL PEDRO MARIN BERBEL","BIRIGÜI","SÃO PAULO"
"RESIDENCIAL PORTAL DA PÉROLA","BIRIGÜI","SÃO PAULO"
"RESIDENCIAL PORTAL DA PÉROLA II","BIRIGÜI","SÃO PAULO"
"RESIDENCIAL PRADO","BIRIGÜI","SÃO PAULO"
"RESIDENCIAL PREFEITO MÁRIO CRÊM DOS SANTOS","BIRIGÜI","SÃO PAULO"
"RESIDENCIAL SÃO FRANCISCO","BIRIGÜI","SÃO PAULO"
"RESIDENCIAL SÃO JOSÉ","BIRIGÜI","SÃO PAULO"
"RESIDENCIAL SÃO PEDRO","BIRIGÜI","SÃO PAULO"
"RESIDENCIAL SIMÕES","BIRIGÜI","SÃO PAULO"
"RESIDENCIAL VENEZA","BIRIGÜI","SÃO PAULO"
"SÍTIO DE RECREIO PASSAREDO","BIRIGÜI","SÃO PAULO"
"VILA ANGÉLICA","BIRIGÜI","SÃO PAULO"
"VILA BANDEIRANTES","BIRIGÜI","SÃO PAULO"
"VILA CORTELLAZI","BIRIGÜI","SÃO PAULO"
"VILA GARDENAL","BIRIGÜI","SÃO PAULO"
"VILA GERMANO","BIRIGÜI","SÃO PAULO"
"VILA GIAMPIETRO","BIRIGÜI","SÃO PAULO"
"VILA GUANABARA","BIRIGÜI","SÃO PAULO"
"VILA GUARUJÁ","BIRIGÜI","SÃO PAULO"
"VILA ISABEL MARIN","BIRIGÜI","SÃO PAULO"
"VILA MARIA","BIRIGÜI","SÃO PAULO"
"VILA MOIMAZ","BIRIGÜI","SÃO PAULO"
"VILA PONTES","BIRIGÜI","SÃO PAULO"
"VILA ROBERTO","BIRIGÜI","SÃO PAULO"
"VILA SAUDADES","BIRIGÜI","SÃO PAULO"
"VILA SILVARES","BIRIGÜI","SÃO PAULO"
"VILA STAFF","BIRIGÜI","SÃO PAULO"
"VILA XAVIER","BIRIGÜI","SÃO PAULO"
"VILLA DO CHAFARIZ","BIRIGÜI","SÃO PAULO"
"CENTRO","BIRITIBA-MIRIM","SÃO PAULO"
"CENTRO","BOA ESPERANÇA DO SUL","SÃO PAULO"
"CENTRO","BOCAINA","SÃO PAULO"
"CENTRO","BOFETE","SÃO PAULO"
"SÃO ROQUE NOVO","BOFETE","SÃO PAULO"
"CENTRO","BOITUVA","SÃO PAULO"
"NOVO MUNDO","BOITUVA","SÃO PAULO"
"SANTO ANTONIO","BOITUVA","SÃO PAULO"
"CENTRO","BOM JESUS DOS PERDÕES","SÃO PAULO"
"CENTRO","BOM SUCESSO DE ITARARÉ","SÃO PAULO"
"CENTRO","BORÁ","SÃO PAULO"
"CENTRO","BORACÉIA","SÃO PAULO"
"CENTRO","BORBOREMA","SÃO PAULO"
"CENTRO","BOREBI","SÃO PAULO"
"ALTO","BOTUCATU","SÃO PAULO"
"JARDIM CARAVELAS","GOIÂNIA","GOIÁS"
"SETOR OESTE (SOBRADINHO II)","BRASÍLIA","DISTRITO FEDERAL"
"SANTA CATARINA","CARIACICA","ESPÍRITO SANTO"
"JARDIM VERA CRUZ","CONTAGEM","MINAS GERAIS"
"AREIAS","SOUSA","PARAÍBA"
"JARDIM BELA VISTA","SOUSA","PARAÍBA"
"SÃO SEBASTIÃO","PICOS","PIAUÍ"
"CANTO DA VARZEA","PICOS","PIAUÍ"
"AUGUSTO BRAGA","SOUSA","PARAÍBA"
"JARDIM GUANABARA II","RONDONÓPOLIS","MATO GROSSO"
"JARDIM SERRA DOURADA II","RONDONÓPOLIS","MATO GROSSO"
"JARDIM SALVADOR","TRINDADE","GOIÁS"
"RESIDENCIAL FONTE DAS ÁGUAS","GOIÂNIA","GOIÁS"
"RESIDENCIAL MUNDO NOVO 2","GOIÂNIA","GOIÁS"
"MALVA","PICOS","PIAUÍ"
"PASSAGEM DAS PEDRAS","PICOS","PIAUÍ"
"BOA VISTA","PICOS","PIAUÍ"
"BOSQUE DAS ARARAS","CAMPO GRANDE","MATO GROSSO DO SUL"
"SETOR NOROESTE","BRASÍLIA","DISTRITO FEDERAL"
"PARQUE DOS GIRASSÓIS","UBERABA","MINAS GERAIS"
