"cidade","estado"
"ITAJUBA","MINAS GERAIS"
"MUNHOZ","MINAS GERAIS"
"SÃO MIGUEL DO GOSTOSO","RIO GRANDE DO NORTE"
"TAUA","CEARÁ"
"JAGUARIUNA","SÃO PAULO"
"QUADRA","SÃO PAULO"
"SÃO VALÉRIO DA NATIVIDADE","TOCANTINS"
"SILVANÓPOLIS","TOCANTINS"
"SÍTIO NOVO DO TOCANTINS","TOCANTINS"
"SUCUPIRA","TOCANTINS"
"TAGUATINGA","TOCANTINS"
"TAIPAS DO TOCANTINS","TOCANTINS"
"TALISMÃ","TOCANTINS"
"TOCANTÍNIA","TOCANTINS"
"TOCANTINÓPOLIS","TOCANTINS"
"TUPIRAMA","TOCANTINS"
"TUPIRATINS","TOCANTINS"
"WANDERLÂNDIA","TOCANTINS"
"XAMBIOÁ","TOCANTINS"
"CAMBORIÚ","SANTA CATARINA"
"MURIAÉ","MINAS GERAIS"
"MUTUM","MINAS GERAIS"
"NACIP RAYDAN","MINAS GERAIS"
"NANUQUE","MINAS GERAIS"
"NAQUE","MINAS GERAIS"
"NATALÂNDIA","MINAS GERAIS"
"NATÉRCIA","MINAS GERAIS"
"NAZARENO","MINAS GERAIS"
"NEPOMUCENO","MINAS GERAIS"
"SALTO DE PIRAPORA","SÃO PAULO"
"SALTO GRANDE","SÃO PAULO"
"SANDOVALINA","SÃO PAULO"
"SANTA ADÉLIA","SÃO PAULO"
"SANTA ALBERTINA","SÃO PAULO"
"SANTA BÁRBARA D'OESTE","SÃO PAULO"
"SANTA BRANCA","SÃO PAULO"
"SANTA CLARA D'OESTE","SÃO PAULO"
"SANTA CRUZ DA CONCEIÇÃO","SÃO PAULO"
"SANTA CRUZ DA ESPERANÇA","SÃO PAULO"
"NINHEIRA","MINAS GERAIS"
"NOVA BELÉM","MINAS GERAIS"
"NOVA ERA","MINAS GERAIS"
"ASCURRA","SANTA CATARINA"
"NOVA LIMA","MINAS GERAIS"
"NOVA MÓDICA","MINAS GERAIS"
"NOVA PONTE","MINAS GERAIS"
"NOVA PORTEIRINHA","MINAS GERAIS"
"NOVA RESENDE","MINAS GERAIS"
"NOVA SERRANA","MINAS GERAIS"
"NOVA UNIÃO","MINAS GERAIS"
"GUARACI","PARANÁ"
"GUARANIAÇU","PARANÁ"
"GUARAPUAVA","PARANÁ"
"GUARAQUEÇABA","PARANÁ"
"GUARATUBA","PARANÁ"
"HONÓRIO SERPA","PARANÁ"
"IBAITI","PARANÁ"
"IBEMA","PARANÁ"
"IBIPORÃ","PARANÁ"
"ICARAÍMA","PARANÁ"
"IGUARAÇU","PARANÁ"
"NOVO CRUZEIRO","MINAS GERAIS"
"NOVO ORIENTE DE MINAS","MINAS GERAIS"
"NOVORIZONTE","MINAS GERAIS"
"OLARIA","MINAS GERAIS"
"OLHOS D'ÁGUA","MINAS GERAIS"
"OLÍMPIO NORONHA","MINAS GERAIS"
"OLIVEIRA","MINAS GERAIS"
"OLIVEIRA FORTES","MINAS GERAIS"
"ONÇA DE PITANGUI","MINAS GERAIS"
"ORATÓRIOS","MINAS GERAIS"
"ORIZÂNIA","MINAS GERAIS"
"OURO BRANCO","MINAS GERAIS"
"OURO FINO","MINAS GERAIS"
"OURO PRETO","MINAS GERAIS"
"OURO VERDE DE MINAS","MINAS GERAIS"
"PADRE CARVALHO","MINAS GERAIS"
"PADRE PARAÍSO","MINAS GERAIS"
"PAI PEDRO","MINAS GERAIS"
"PAINEIRAS","MINAS GERAIS"
"PAINS","MINAS GERAIS"
"PAIVA","MINAS GERAIS"
"PALMA","MINAS GERAIS"
"PALMÓPOLIS","MINAS GERAIS"
"PAPAGAIOS","MINAS GERAIS"
"PARÁ DE MINAS","MINAS GERAIS"
"PARACATU","MINAS GERAIS"
"PARAGUAÇU","MINAS GERAIS"
"PARAISÓPOLIS","MINAS GERAIS"
"PARAOPEBA","MINAS GERAIS"
"PASSA QUATRO","MINAS GERAIS"
"PASSA TEMPO","MINAS GERAIS"
"PASSA VINTE","MINAS GERAIS"
"PASSABÉM","MINAS GERAIS"
"PASSOS","MINAS GERAIS"
"PATIS","MINAS GERAIS"
"PATOS DE MINAS","MINAS GERAIS"
"PATROCÍNIO","MINAS GERAIS"
"PATROCÍNIO DO MURIAÉ","MINAS GERAIS"
"PAULA CÂNDIDO","MINAS GERAIS"
"PAULISTAS","MINAS GERAIS"
"PAVÃO","MINAS GERAIS"
