"produto","numero_nf","quantidade","total"
"CAMA CASAL",188050,2.0,2000.0
"BARCO DE PEDRA",23890,2.0,74.0
"RIO DE JANEIRO / LIMA",251490,1.0,1900.0
"LEITOR DE CARTOES MULTILASER",178820,2.0,48.0
"RIO DE JANEIRO / MIAMI",93890,4.0,7600.0
"SAMSUNG E1203",211250,3.0,1680.0
"SMART TV PANASONIC 32",205580,5.0,5495.0
"HOME THEATER PANASONIC",213490,4.0,980.0
"DINOSSAUROS",249510,2.0,80.0
"CAVALEIRO DAS TREVAS",183080,1.0,110.0
"PLACA DE SOM",113190,3.0,870.0
"NOTEBOOK SONY JK",247540,4.0,11200.0
"CAVALEIROS DE PRATA",83410,3.0,435.0
"O SUPER-HERÓI",182940,2.0,90.0
"GRILL GEROGE FOREMAN",146780,2.0,500.0
"DESKTOP I5",201450,3.0,6300.0
"RIO DE JANEIRO / CURITIBA",168420,2.0,900.0
"TECLADO WIRELESS",94410,3.0,267.0
"NOKIA ASHA 202",203250,3.0,2100.0
"TV LED 60 SONY",150130,4.0,15600.0
"O PEQUENO",252780,4.0,172.0
"HD 1T SAMSUNG",87200,2.0,520.0
"DESKTOP I5",53430,4.0,8400.0
"O PEQUENO",240770,5.0,215.0
"O SENHOR DO CRIME",62390,5.0,995.0
"MOTO G6",69790,4.0,3440.0
"PC DUAL CORE",172710,4.0,5400.0
"CADEIRA DE FERRO",229390,2.0,600.0
"SONY I5",178570,2.0,3600.0
"RIO DE JANEIRO / CURITIBA",123880,1.0,450.0
"NOKIA QUARTY",111700,2.0,600.0
"ARMARIO COZINHA 6 PORTAS",99380,4.0,10000.0
"TV LED 32 SAMSUNG",134600,4.0,4840.0
"MOCHILA NOTEBOOK 14 POL",7620,2.0,178.0
"THIEF",41640,1.0,140.0
"COMBO TECLADO E MOUSE",55750,1.0,130.0
"SONY I7",39230,3.0,7500.0
"CASOAS ANTIGOS",242640,4.0,148.0
"PLAYSTATION 3",114600,2.0,1960.0
"CARTAO SD 128 GB SANDISK",72720,4.0,624.0
"TECLADO WIRELESS",111240,4.0,356.0
"FAMILIA PARATTO",37320,4.0,536.0
"ESCOLINHA DO JUCA",202500,1.0,56.0
"MESA JANTAR 6 LUGARES",240950,1.0,2500.0
"SAMSUNG DUOS",71720,5.0,5500.0
"NOTEBOOK HP ONE",222230,4.0,7480.0
