"nome","razao_social"
"BRENDA ALINE SOUSA MARTINS","ASSOCIAÇÃO DE CAKE DESIGNERS E ARTISTAS DO AÇÚCAR"
"ERICK BHRENER BARROSO SILVA","ATACADAO TERRA SANTA EIRELI"
"FABIO HENRIQUE DO AMARAL BARBIERI","ABRACE AMIGOS E BENFEITORES REABILITANDO ANIMAIS NO CEARA UMA CAUSA ANIMAL"
"FERNANDO FABRICIO DOS ANJOS","MARBELLE LINGERIE LTDA"
"MARIA SOCORRO SILVA","MANHATTAN BEACH RIVIERA - EMPREENDIMENTO IMOBILIARIO LTDA"
"ISMAEL JADSON SOARES DE FREITAS","MAURI SERIGRAFIA"
"REJANE LIMA DE SOUSA","MUNICIPIO DE SANTANA DE PARNAIBA"
"CAIO BRAGA DE SOUSA","NETUNO ALIMENTOS LTDA"
"DIEGO GONCALO LADEIRA","R MILET COMERCIO DE CALCADOS LTDA"
"MARIO VINICIUS MOREIRA FONTENELE","MUNICIPIO DE TUPA"
"JOAO BATISTA DE LIMA GOMES","SAN PAOLO INCORPORACAO E CONSTRUCOES LTDA"
"ISABELLE DE PAULA BARBOSA RIBEIRO","A. E. COSTA DA SILVA"
"TELRY SOARES FREIRE","A ECONOMICA COMERCIO LTDA"
"EXPEDITO ANDRADE DE MESQUITA","A SELMA DE AQUINO CONSTRUCOES - ME"
"ANTONIO JEORGE RODRIGUES ALVES","ALANA CARLA BEZERRA DO REGO LUNA"
"PAULO CESAR BEZERRA GUEDES","ADONEL CALCADOS & MODAS LTDA"
"DEIVID SILVA DO NACIMENTO","ADONEL CALCADOS & MODAS LTDA"
"MARIA MARLENE DE LIMA PORTO","ADVOCACIA CORREA DE CASTRO & ASSOCIADOS"
"JOSÉ GILMAR SAMPAIO FILHO","CINTHIA GREYNE ARAUJO SOCIEDADE INDIVIDUAL DE ADVOCACIA"
"FERNANDO ANTÔNIO BEZERRA FREIRE","DISTRIBUIDORA DE PNEUS NOSSA SENHORA DA GLORIA LTDA"
